name;duration;genre_id;disc_number;track_number;;uri;explicit;popularity
Aurorae;377093;94;1;5;;https://p.scdn.co/mp3-preview/c26129aa931331de3e70c875fabc8affac112525?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;41
Ava of Death;246880;1;1;1;;https://p.scdn.co/mp3-preview/a533a65fe0a81f242749c634d29eec2e68e6539d?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;41
B.Y.O.B.;255466;135;1;2;;https://p.scdn.co/mp3-preview/2f373f029e1110b19c265b8f4bc4d265e5fa9539?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;75
Babooshka;209933;17;1;1;;https://p.scdn.co/mp3-preview/b8af5e66891fdfa7b07d1dd174308e5dae41f5e0?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;73
Baby Did a Bad, Bad Thing;176000;94;1;4;;https://p.scdn.co/mp3-preview/63f5600b918fe08ddc4bedc30b754b9022b09cd3?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;49
Babylon;265666;121;1;2;;https://p.scdn.co/mp3-preview/8bd18db2484fcefbf48696a5722230f356947d5d?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;66
Back In Black;255493;149;1;6;;https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;85
Back on the Chain Gang - 2007 Remaster;231120;137;1;2;;https://p.scdn.co/mp3-preview/d9dbc11e84d291187341a2f2d537bcfd7742b8cb?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;66
Back to the Primitive;261959;95;1;1;;https://p.scdn.co/mp3-preview/f3417b301afdd6f85934a9b39247b4ead9fd001c?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;49
Bad - 2012 Remaster;247360;92;1;1;;https://p.scdn.co/mp3-preview/5d08b76c5f2b944725394019c38b3ff08f867306?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;52
Bad Company;262440;93;1;12;;https://p.scdn.co/mp3-preview/c5f003381fb9810398a39b8146632fd98f24b41a?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;65
Baker Street;365626;9;1;2;;https://p.scdn.co/mp3-preview/44a14bd01aee71770b24d91f871a00ccc23568d5?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;69
Balls to the Wall;342600;149;1;1;;https://p.scdn.co/mp3-preview/f17ccce8323b75f9181adb36212204aa04c153bb?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;52
Banquet;196613;9;1;4;;https://p.scdn.co/mp3-preview/4237d93bd0524cb82dad3eb425acf6b96daf22ee?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;61
Barren King;155101;95;1;1;;https://p.scdn.co/mp3-preview/574d912c4a79eab77084ec484490f2e1b6520b65?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;43
Bat Country;311813;22;1;4;;https://p.scdn.co/mp3-preview/9c605557a5561b8bc6e2b7bcc84516bdfb614442?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;69
Batdance;373733;17;1;9;;https://p.scdn.co/mp3-preview/2a6e683b5a6aa2744d06afafad44dd37235b9a22?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;48
Battle Scars;250320;92;1;11;;https://p.scdn.co/mp3-preview/aab1e1fdc85fb333885570ca7c2d32fd8e3322b3?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;71
Beat It;258040;17;1;5;;https://p.scdn.co/mp3-preview/4901df6e0f8bf6ce93e08df7d98a50e220c45799?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;79
Beautiful;238560;149;1;11;;https://p.scdn.co/mp3-preview/04f05d9af712b3f3787556ca244cf4fcae4d5c6e?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;72
Because the Night;201826;121;1;68;;https://p.scdn.co/mp3-preview/42c5eee4f6b96524be6c9ccab25294be1700ff50?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;37
Beds Are Burning - Remastered;258173;40;1;9;;https://p.scdn.co/mp3-preview/c68dba22ba58c3d94eaf4de6dae5332bb23b421d?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;63
Bedside Radio;199040;40;1;2;;https://p.scdn.co/mp3-preview/2b1a297e9291c3b21b5427a6138a99b907a86caf?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;45
Been Caught Stealing;214706;93;1;5;;https://p.scdn.co/mp3-preview/74af516b30ad8dd3750bc1fca2b41740cbb66e67?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;57
Been Caught Stealing;213293;22;1;5;;https://p.scdn.co/mp3-preview/ea0a2d17e5933e97e40aa6cea494dd0f0c1d44b1?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;56
Before I Forget;278600;22;1;10;;https://p.scdn.co/mp3-preview/835a766a2ae7f61480c38e5b97443520fecc325d?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;75
Before the Dawn;203066;22;1;10;;https://p.scdn.co/mp3-preview/cbcfba6bbc6b675bd0a0dd7c15408baac3f2497e?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;50
Beg To Differ;254973;94;1;3;;https://p.scdn.co/mp3-preview/aa214c765947ab879ae3e571a7c6cf9ee91d5ffa?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;38
